TITLE|BLUETOOTH_VERSION|USB_VERSION|DEVICE_TYPE|SIM_CARD_SLOT|OS|OS_BITS|SIM_CARD_TYPE|BRAND|MODEL|PRICE|WIRELESS_CONNECTIVITY|NETWORK_4G|NETWORK_3G|NETWORK_2G|NETWORK_TYPE|WIFI|BATTERY_CAPACITY|BATTERY_TYPE|RAM_CAPACITY|RAM_TYPE|GPU|CPU|CPU_FREQ|CPU_CORES|EXTERNAL_MEMORY|STORAGE_SSD|STORAGE_HDD|CAMERA_FRONT|CAMERA_BACK|WEIGHT|PRODUCT_SIZE|SCREEN_SIZE|SCREEN_PPI|SCREEN_TYPE|SCREEN_RESOLUTION|COLOR|ETHERNET_SPEED
chuwi hi10 ultrabook tablet pc|||ultrabook ||windows 10 |||chuwi ||$201.14||||||802.11b/g/n wireless internet |8000mah(rated capacity 6500mah) ||4gb ||intel graphics |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp ||0.474 kg |25.75 x 17.10 x 0.89 cm / 10.14 x 6.73 x 0.35 inches |10.1 inch ||capacitive (10-point),ips,retina |1920 x 1200 (wuxga) ||
teclast tbook 10 s 2 in 1 tablet pc with stylus|||tablet pc ||windows 10 + android 5.1 |||teclast ||$196.21||||||802.11b/g/n wireless internet |3.8v / 6000mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp ||0.5920 kg |24.65 x 16.59 x 0.80 cm / 9.7 x 6.53 x 0.31 inches |10.1 inch ||ips |1920 x 1200 (wuxga) ||
teclast tbook 16 pro 2 in 1 tablet pc with keyboard|||tablet pc,with keyboard ||windows 10 + android 5.1 |||teclast ||$244.19||||||802.11b/g/n wireless internet |3.7v/7200mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||0.3mp |2.0mp |0.7720 kg |29.00 x 18.10 x 0.48 cm / 11.42 x 7.13 x 0.19 inches |11.6 inch ||capacitive (10-point),ips |1920 x 1080 (fhd) ||
veidoo v88k - a4f kids tablet pc|||kids tablet ||android 4.4 |||veidoo ||$65.5||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb ||mali-400 |a33 ||1.5ghz,quad core |tf card up to 32gb (not included) |8gb ||2.0mp ||0.5200 kg |18.60 x 12.10 x 0.80 cm / 7.32 x 4.76 x 0.31 inches |7 inch ||capacitive,tn |1024 x 600 (wsvga) ||
teclast tbook 12 pro 2 in 1 tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$189.99||||||802.11b/g/n wireless internet |3.7v/7200mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.9110 kg |29.90 x 20.20 x 0.80 cm / 11.77 x 7.95 x 0.31 inches |12.2 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
k960 android 5.1 3g phablet|||||android 5.1 |||||$80.44|||||||4500mah ||1gb |||mtk6580 ||quad core ||16gb ||0.3mp |0.3mp |0.5330 kg |23.00 x 16.00 x 1.00 cm / 9.06 x 6.3 x 0.39 inches ||||1280x800 ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||||0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
gpd win pc game console|||game tablet,umpc ||windows 10 |||gpd ||$375.0||||||802.11a/b/g/n/ac wireless internet |3.8v/6700mah ||4gb ||intel hd graphics |intel cherry trail z8750 ||1.6ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.3780 kg |15.50 x 9.70 x 2.20 cm / 6.1 x 3.82 x 0.87 inches |5.5 inch ||capacitive (5-point),ips |1280 x 720 (hd 720) ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$51.11|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||5.0mp |8.0mp |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
lenovo tb3 - x70n 4g phablet|||phablet |micro sim card slot |android 6.0 |||lenovo ||$348.29||fdd-lte 800/900/1800/2100/2600mhz,td-lte band 38/39/40/41 |td-scdma (b34/b39) wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm + wcdma + td-scdma + lte-fdd + td-lte |802.11 a/b/g/n/ac wireless internet |7000mah, li-ion polymer battery ||2gb ||mali-720 |mtk8735 ||1.3ghz,quad core |tf card up to 64gb (not included) |32gb ||||0.5090 kg |17.10 x 24.70 x 0.89 cm / 6.73 x 9.72 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$73.41|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||2.0mp ||0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
jumper ezpad 6 2 in 1 tablet pc with keyboard|||tablet pc,with keyboard ||windows 10 |||jumper ||$179.99||||||802.11b/g/n wireless internet |3.8v / 7000mah, li-ion polymer battery ||4gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core ||64gb ||2.0mp |5.0mp |1.3970 kg |29.00 x 18.20 x 0.80 cm / 11.42 x 7.17 x 0.31 inches |11.6 inch ||ips |1920 x 1080 (fhd) ||
lenovo tb3 730m 4g phablet 2gb + 16gb|||phablet |yes (1 x micro sim card slot) |android 6.0 |||lenovo ||$169.2||fdd-lte 1800/2100mhz,td-lte band 38/39/40/41 |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11b/g/n wireless internet |3.7v / 3450mah, li-ion polymer battery ||2gb ||mali-t720 |mtk8735p ||1ghz,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |2.0mp |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
teclast x80 power tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$128.75||||||802.11b/g/n wireless internet |3.8v / 3800mah, li-ion polymer battery ||2gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp |0.3300 kg |21.50 x 12.52 x 0.75 cm / 8.46 x 4.93 x 0.3 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
lenovo tb3 730m 4g phablet|||phablet |yes (1 x micro sim card slot) |android 6.0 |||lenovo ||$147.01||fdd-lte 1800/2100mhz,td-lte band 38/39/40/41 |wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,tdd-lte,wcdma |802.11b/g/n wireless internet |3.7v / 3450mah, li-ion polymer battery ||1gb ||mali-t720 |mtk8735p ||1ghz,quad core |tf card up to 32gb (not included) |16gb ||0.3mp |0.3mp |0.2600 kg |19.10 x 10.00 x 0.88 cm / 7.52 x 3.94 x 0.35 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||5.0mp |8.0mp |0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
asus zenpad 3s 10 z500m tablet pc|||tablet pc ||android 6.0 |||asus ||$389.25||||||802.11 a/b/g/n/ac wireless internet |built-in 3.7v / 5900mah lithium ion polymer battery ||4gb ||powervr gx6250 |mtk mt8176 ||dual-core 2.1 ghz +quad-core 1.7 ghz |tf card up to 128gb (not included) |64gb ||2.0mp ||0.4300 kg |24.05 x 16.37 x 0.58 cm / 9.47 x 6.44 x 0.23 inches |9.7 inch ||capacitive (10-point),ips |2048 x 1536 (qxga) ||
onda obook 20 plus tablet pc|||tablet pc,umpc ||android 5.1,windows 10 |||onda ||$149.99|||||||3.7v / 6000mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 256gb |64gb ||0.3mp |2.0mp |0.5750 kg |25.30 x 16.80 x 0.80 cm / 9.96 x 6.61 x 0.31 inches |10.1 inch ||capacitive (10-point),ips |1920 x 1200 (wuxga) ||
cube iplay 8 tablet pc|||tablet pc ||android 6.0 |||cube ||$78.57||||||wifi 802.11a/b/g/n wireless internet |3.8v / 3500mah ||1gb ||mali-t720 mp2 |mtk8163 ||1.3ghz,quad core |tf card up to 128gb (not included) |16gb ||0.3mp |0.3mp |0.3300 kg |19.60 x 13.70 x 0.90 cm / 7.72 x 5.39 x 0.35 inches |7.85 inch ||capacitive (5-point) |1024 x 768 (xga) ||
hipo m88 kids tablet pc|||kids tablet ||android 4.4 |||hipo ||$59.46||||||802.11b/g/n wireless internet |3.7v / 2800mah, li-ion polymer battery ||512mb ||mali-400 |a33 ||1.34ghz,quad core |tf card up to 128gb (not included) |8gb ||2.0mp |5.0mp |0.3930 kg |18.16 x 12.09 x 1.60 cm / 7.15 x 4.76 x 0.63 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
teclast x3 pro 2 in 1 ultrabook tablet pc|||ultrabook ||windows 10 |||teclast ||$463.14||||||802.11b/g/n wireless internet |7.4v/4500mah ||8gb ||gen9lp hd515 |intel core m3-6y30 ||900mhz,dual core |tf card up to 128gb (not included) |128gb ||||0.9090 kg |30.38 x 18.61 x 1.01 cm / 11.96 x 7.33 x 0.4 inches |11.6 inch ||capacitive,ips |1920 x 1080 (fhd) ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$56.81|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||0.3mp |2.0mp |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
veidoo v100 - m4w 3g phablet|||phablet |dual sim,dual standby,standard sim card slot |android 5.1 |||veidoo ||$97.94|||wcdma 2100mhz |gsm 850/900/1800/1900mhz ||802.11b/g/n wireless internet |3.7v / 5000mah ||1gb ||mali-400 |mtk6580 ||1.3ghz,quad core |tf card up to 64gb (not included) |16gb ||5.0mp |8.0mp |0.5040 kg |24.10 x 16.70 x 0.88 cm / 9.49 x 6.57 x 0.35 inches |10.1 inch ||capacitive |1280 x 800 ||
lenovo tb3 - x70f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$328.29||||||802.11 a/b/g/n/ac wireless internet |7000mah, li-ion polymer battery ||2gb ||mali-t720 |mtk8161 ||1.3ghz,quad core |tf card up to 64gb (not included) |32gb ||0.3mp |2.0mp |0.5090 kg |17.10 x 24.70 x 0.89 cm / 6.73 x 9.72 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
veidoo v88k - a4f kids tablet pc|||kids tablet ||android 4.4 |||veidoo ||$65.5||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb ||mali-400 |a33 ||1.5ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp |0.5200 kg |18.60 x 12.10 x 0.80 cm / 7.32 x 4.76 x 0.31 inches |7 inch ||capacitive,tn |1024 x 600 (wsvga) ||
onda v10 3g phablet|||phablet |dual sim,dual standby,standard sim card slot |android 5.1 |||onda ||$79.99|||wcdma 850/900/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |3.7 / 6000mah ||1gb ||mali-400 mp |mtk 8321 ||1.3ghz,quad core |tf card up to 128gb (not included) |16gb ||2.0mp |8.0mp (with flash light and auto focus) |0.5340 kg |24.00 x 17.00 x 8.80 cm / 9.45 x 6.69 x 3.46 inches |10.1 inch ||capacitive (10-point),ips |1280 x 800 ||
huawei honor pad 2 ( jdn-w09 )|||tablet pc ||android 6.0 |||huawei ||$176.95||||||802.11 a/b/g/n/ac wireless internet |4800mah ( typ ), li-ion polymer battery ||3gb ||adreno-405 |qualcomm snapdragon 616 ||1.5ghz,octa core |tf card up to 128gb (not included) |16gb ||||0.3400 kg |20.93 x 12.30 x 0.81 cm / 8.24 x 4.84 x 0.32 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$50.85|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||5.0mp |8.0mp |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
lenovo tab 2 a10 - 70f tablet pc|||tablet pc ||android 5.0 |||lenovo ||$274.32||||||wifi 802.11a/b/g/n wireless internet |7000mah ||2gb ||mali-t760 mp2 |mtk8165 ||1.7ghz,quad core |tf card up to 128gb (not included) |16gb ||2.0mp ||0.5100 kg |17.10 x 20.00 x 0.89 cm / 6.73 x 7.87 x 0.35 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
cube iwork1x 2 in 1 tablet pc|||tablet pc ||windows 10 |||cube ||$189.99||||||802.11b/g/n wireless internet |built-in 4.35v / 8500mah lithium ion polymer battery ||4gb ||intel hd graphic(gen8) |intel atom x5-z8350 ||1.44ghz |tf card up to 128gb (not included) |64gb ||2.0mp |8.0mp |0.7620 kg |29.80 x 18.00 x 0.90 cm / 11.73 x 7.09 x 0.35 inches |11.6 inch ||capacitive,ips |1920 x 1080 (fhd) ||
cube t10 4g phablet|||phablet |micro sim card slot |android 6.0 |||cube ||$159.99||fdd-lte 1800/2100mhz,td-lte band 38/39/40/41 |td-scdma band 34/39,wcdma 2100mhz |gsm900/1800mhz ||802.11a/b/g/n |4.35v / 6500mah lithium polymer battery ||2gb |||mtk8783 ||1.3ghz,octa core ||32gb ||||0.5350 kg |24.00 x 16.70 x 0.80 cm / 9.45 x 6.57 x 0.31 inches |10.1 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
gbtiger l1008 android 5.1 tablet pc|||||android 5.1 |||||$92.52|||||||5500mah ||1gb |||allwinner a33 ||quad core ||16gb ||0.3mp |2.0mp (with flash light) |0.563 kg |26.10 x 16.50 x 0.80 cm / 10.28 x 6.5 x 0.31 inches ||||1024x600 ||
hipo s106t 4g phablet|||phablet |dual sim,dual standby,standard sim card slot |android 6.0 |||hipo ||$103.96||fdd-lte 1800/2100mhz |wcdma 850/900/2100mhz |gsm 850/900/1800/1900mhz |fdd-lte,gsm,wcdma |802.11b/g/n wireless internet |3.7v / 4500mah ||2gb ||mali-400 |mtk8735 ||1.35ghz,quad core |tf card up to 128gb (not included) |16gb ||0.3mp |0.3mp |0.4990 kg |26.10 x 16.80 x 1.03 cm / 10.28 x 6.61 x 0.41 inches |10.6 inch ||ips |1366 x 768 ||
soulycin s8 iii android 4.1 phablet with 7 inch wsvga screen mtk6517 1.2ghz 4gb rom|||phablet |dual sim, dual standby |android 4.1 |||soulycin ||$69.71|||not built-in 3g (support external 3g) |gsm 850/900/1800/1900mhz |gsm |802.11b/g/n wireless internet |2800mah li-ion battery ||512mb |||mtk6517 ||dual core, 1.2ghz |tf card up to 32gb (not included) |4gb ||2.0mp ||0.306 kg |18.5 x 10.5 x 0.8 cm |7 inch ||capacitive |1024 x 600 (wsvga) ||
teclast tbook 16 pro 2 in 1 tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$271.26||||||802.11b/g/n wireless internet |3.7v/7200mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||2.0mp |2.0mp |0.7720 kg |29.00 x 18.10 x 0.48 cm / 11.42 x 7.13 x 0.19 inches |11.6 inch ||capacitive (10-point),ips |1920 x 1080 (fhd) ||
onda v80 plus|||tablet pc ||android 5.1 |||onda ||$111.6||||||802.11 b/g/n/ac |3.8v / 4000mah ||2gb ||intel hd graphics 400 |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |8.0mp |0.3060 kg |21.50 x 12.50 x 0.85 cm / 8.46 x 4.92 x 0.33 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
asus z380 knl fashion version 4g phone tablet pc|||phablet |micro sim card slot,single sim,single standby |android 6.0 |||asus ||$210.95||fdd-lte 850/900/1800/1900/2100/2600mhz |wcdma 850/900/1900/2100mhz cdma 2000 bc0 |gsm 850/900/1800/1900mhz ||802.11b/g/n wireless internet |3.7v / 4000mah ||2gb ||adreno-405 |qualcomm msm8929 ||1ghz,octa core |tf card up to 64gb (not included) |16gb ||5.0mp |8.0mp |0.350 kg |20.90 x 12.30 x 0.85 cm / 8.23 x 4.84 x 0.33 inches |8 inch ||capacitive (10-point),ips |1280 x 800 ||
lenovo p8 tablet pc|||tablet pc ||android 6.0 |||lenovo ||$159.99||||||802.11 b/g/n/ac |3.7v / 4250mah, li-ion polymer battery ||3gb ||adreno 506 |qualcomm snapdragon 625 (msm8953) ||2.0ghz,octa core |tf card up to 64gb (not included) |16gb ||0.3mp |0.3mp |0.3300 kg |20.95 x 12.35 x 0.86 cm / 8.25 x 4.86 x 0.34 inches |8 inch ||capacitive (10-point) |1920 x 1200 (wuxga) ||
716 kids tablet pc|||kids tablet ||android 4.4 |||||$53.19||||||802.11b/g/n wireless internet |3.7v / 3000mah ||512mb ||mali-400 |rk3126 ||1.2ghz,quad core |tf card up to 32gb (not included) |8gb ||2.0mp |2.0mp |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
chuwi hi10 pro 2 in 1 ultrabook tablet pc|||ultrabook ||android 5.1,windows 10 |||chuwi ||$210.89||||||802.11b/g/n wireless internet |3.7v/6500mah ||4gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |64gb ||||0.562 kg |26.18 x 16.73 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
gpd pocket mini laptop|||mini laptop ||windows 10 |||gpd ||$495.99||||||802.11a/b/g/n/ac wireless internet |||8gb |||intel atom x7-z8750 ||1.6ghz,quad core ||||2.0mp |5.0mp |0.5030 kg |18.20 x 10.90 x 1.99 cm / 7.17 x 4.29 x 0.78 inches |7 inch |||1920 x 1080 (fhd) ||
great wall l782 4g phablet 2gb ram 16gb rom|||phablet |dual sim,dual standby,yes (1 x micro sim card slot and 1 x sim card slot) |android 4.4 |||great wall ||$128.4|||built in 3g (wcdma) |gsm 850/900/1800/1900mhz wcdma 850/900/1900/2100mhz fdd-lte 800/850/900/1700/1800/1900/2100/2600mhz |gsm+wcdma+fdd lte |wifi 802.11a/b/g/n wireless internet |5000mah ||2gb ||adreno 306 |msm8916 ||1.2ghz,cortex a53,quad core |tf card up to 32gb (not included) |16gb ||2.0mp |5.0mp |0.387 kg |20.20 x 13.60 x 0.89 cm / 7.95 x 5.35 x 0.35 inches |7.85 inch ||capacitive |1024 x 768 (xga) ||
pipo p7 tablet pc|||tablet pc ||android 4.4 |||pipo ||$158.71||||||802.11b/g/n wireless internet |6400mah, li-ion polymer battery ||2gb ||mali-t764 |rk3288 ||1.8ghz,quad core |tf card up to 64gb (not included) |16gb ||0.3mp |0.3mp |0.5350 kg |24.00 x 17.00 x 0.90 cm / 9.45 x 6.69 x 0.35 inches |9.4 inch ||capacitive (10-point) |1280 x 800 (wxga) ||
716 kids tablet pc|||kids tablet ||android 4.4 |||||$53.19||||||802.11b/g/n wireless internet |3.7v / 3000mah ||512mb ||mali-400 |rk3126 ||1.2ghz,quad core |tf card up to 32gb (not included) |8gb ||2.0mp |8.0mp |0.3070 kg |19.10 x 12.80 x 1.20 cm / 7.52 x 5.04 x 0.47 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
asus z380 knl fashion version 4g phone tablet pc|||phablet |micro sim card slot,single sim,single standby |android 6.0 |||asus ||$189.99||fdd-lte 850/900/1800/1900/2100/2600mhz |wcdma 850/900/1900/2100mhz cdma 2000 bc0 |gsm 850/900/1800/1900mhz ||802.11b/g/n wireless internet |3.7v / 4000mah ||2gb ||adreno-405 |qualcomm msm8929 ||1ghz,octa core |tf card up to 64gb (not included) |16gb ||||0.350 kg |20.90 x 12.30 x 0.85 cm / 8.23 x 4.84 x 0.33 inches |8 inch ||capacitive (10-point),ips |1280 x 800 ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$57.83|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||||0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
protective case for teclast x80 hd / x80 plus / p80-3g / x80 pro||||||||||$8.57||||||||||||||||||0.3mp |0.3mp ||||||||
q88h kid tablet pc|||kids tablet ||android 4.4 |||||$51.71||||||802.11b/g/n wireless internet |3.7v / 2000mah ||512mb ||mali-400 mp |a33 ||1.3ghz |tf card up to 32gb (not included) |8gb ||2.0mp |5.0mp |0.2780 kg |18.30 x 12.00 x 0.80 cm / 7.2 x 4.72 x 0.31 inches |7 inch |||1024 x 600 (wsvga) ||
great wall l782 4g phablet 1gb ram 8gb rom|||phablet |dual sim,dual standby,yes (1 x micro sim card slot and 1 x sim card slot) |android 4.4 |||great wall ||$121.85|||built in 3g (wcdma) |gsm 850/900/1800/1900mhz wcdma 850/900/1900/2100mhz fdd-lte 800/850/900/1700/1800/1900/2100/2600mhz |gsm+wcdma+fdd lte |wifi 802.11a/b/g/n wireless internet |5000mah ||1gb ||adreno 306 |msm8916 ||1.2ghz,cortex a53,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |0.3mp |0.387 kg |20.20 x 13.60 x 0.89 cm / 7.95 x 5.35 x 0.35 inches |7.85 inch ||capacitive |1024 x 768 (xga) ||
bdf e86 kids tablet pc|||kids tablet ||android 4.4 |||bdf ||$51.97||||||802.11b/g/n wireless internet |3.7v / 2500mah ||512mb |||a33 ||1.2ghz,quad core |tf card up to 32gb (not included) |4gb ||||0.2820 kg |19.10 x 12.60 x 1.42 cm / 7.52 x 4.96 x 0.56 inches |7 inch ||capacitive (5-point) |1024 x 600 (wsvga) ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$50.85|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||0.3mp |2.0mp |0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
veidoo v706 - m4w 3g phablet|||phablet |yes (2 x standard sim card slot) |android 6.0 |||veidoo ||$83.07|||wcdma 850/1900/2100mhz |gsm 850/900/1800/1900mhz |gsm+wcdma |802.11b/g/n wireless internet |3.7v / 2500mah ||1gb ||mali-400 |mtk8321 ||1.3ghz,quad core |tf card up to 32gb (not included) |8gb ||0.3mp |2.0mp |0.5600 kg |18.80 x 10.70 x 0.88 cm / 7.4 x 4.21 x 0.35 inches |7 inch ||tn |1024 x 600 (wsvga) ||
cube iplay 10 tablet pc|||tablet pc ||android 6.0 |||cube ||$106.99||||||wifi 802.11a/b/g/n wireless internet |3.7v / 6000mah ||2gb ||mali-t720 mp2 |mtk8163 ||1.3ghz,quad core |tf card up to 128gb (not included) |32gb ||0.3mp |2.0mp (with flash light) |0.6080 kg |26.70 x 16.80 x 0.95 cm / 10.51 x 6.61 x 0.37 inches |10.6 inch ||capacitive (5-point) |1920 x 1080 (fhd) ||
lenovo tab 2 a7-30 android 4.4 phablet|||tablet pc |yes (1 x micro sim card slot),single sim,single standby |android 4.4 |||||$111.56||||gsm 850/900/1800/1900mhz |gsm ||3450mah ||1gb ||mali-450mp |mtk8382 ||quad core,1.3ghz |tf card up to 64gb (not included) |16gb ||||0.269 kg |19.1 x 10.5 x 0.89 cm / 7.51 x 4.13 x 0.35 inches |7 inch ||capacitive |1024 x 600 (wsvga) ||
hipo a106 android 5.1 tablet pc|||||android 5.1 |||||$97.71|||||||8000mah ||1gb |||allwinner a33 ||quad core ||16gb ||2.0mp |2.0mp |0.157 kg |27.50 x 17.00 x 0.80 cm / 10.83 x 6.69 x 0.31 inches ||||1366x768 ||
teclast x80 pro tablet pc|||tablet pc ||windows 10 + android 5.1 |||teclast ||$116.52||||||802.11b/g/n wireless internet |3.8v / 3800mah polymer lithium battery ||2gb ||intel hd graphic(gen8) |intel cherry trail x5-z8350 ||1.44ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp |0.3090 kg |20.80 x 12.60 x 1.00 cm / 8.19 x 4.96 x 0.39 inches |8 inch ||capacitive (5-point),ips |1920 x 1200 (wuxga) ||
lenovo tb3 - 850f tablet pc|||tablet pc ||android 6.0 |||lenovo ||$140.56||||||802.11b/g/n wireless internet |4290mah, li-ion battery ||1gb |||mtk8161 ||1ghz,quad core |tf card up to 64gb (not included) |16gb ||0.3mp ||0.3480 kg |21.70 x 12.60 x 0.80 cm / 8.54 x 4.96 x 0.31 inches |8 inch ||capacitive |1280 x 800 ||
7 inch gpd q9 game tablet pc|||game tablet ||android 4.4 |||gpd ||$114.99||||||802.11b/g/n wireless internet |5000mah ||2gb ||mali t-764 |rk3288 ||1.8ghz,quad core ||16gb ||2.0mp |5.0mp |0.3960 kg |24.10 x 12.00 x 1.50 cm / 9.49 x 4.72 x 0.59 inches |7 inch |||1024 x 600 (wsvga) ||
chuwi hibook 2 in 1 ultrabook tablet pc|||ultrabook ||windows 10 + android 5.1 |||chuwi ||$195.9||||||802.11b/g/n wireless internet |3.7v/6600mah ||4gb ||intel hd graphic(gen8) |cherry trail z8300 ||1.44ghz,quad core |tf card up to 64gb (not included) |64gb ||0.3mp |2.0mp |0.5500 kg |26.20 x 16.75 x 0.85 cm / 10.31 x 6.59 x 0.33 inches |10.1 inch ||capacitive,ips |1920 x 1200 (wuxga) ||
onda v80 se 8.0 inch tablet pc|||tablet pc ||android 5.1 |||onda ||$108.58||||||802.11b/g/n wireless internet |3.8v / 4200mah, li-ion polymer battery ||2gb |||a64 ||1.3ghz,quad core |tf card up to 128gb (not included) |32gb ||2.0mp |5.0mp (with flash light and auto focus) |0.3120 kg |21.40 x 12.50 x 0.95 cm / 8.43 x 4.92 x 0.37 inches |8 inch ||capacitive (5-point) |1920 x 1200 (wuxga) ||
bdf kt107 3g phablet|||phablet |dual sim,dual standby,standard sim card slot |android 6.0 |||bdf ||$101.58|||wcdma b1 2100mhz |gsm 1800mhz,gsm 850mhz,gsm 900mhz |gsm,wcdma |802.11b/g/n wireless internet |3.7v / 5000mah, li-ion polymer battery ||2gb ||mali-400 mp |mtk6580 ||1.3ghz,quad core |tf card up to 32gb (not included) |32gb ||||0.5210 kg |24.00 x 17.00 x 1.04 cm / 9.45 x 6.69 x 0.41 inches |10.1 inch ||capacitive (10-point) |1280 x 800 (wxga) ||
gbtiger l701 kids tablet pc|||||android 4.4 |||||$73.41|||||||2200mah ||512mb |||allwinner a33 ||quad core ||8gb ||||0.2760 kg |18.40 x 12.20 x 0.90 cm / 7.24 x 4.8 x 0.35 inches ||||1024x600 ||
android 4.1 excelvan et902 tablet pc rk3188 quad core 1.6ghz 9.7 inch retina qxga screen 2gb ram 16gb rom wifi camera hdmi otg||||||||||$157.13||||||||||||||||||0.3mp |2.0mp ||||||||
